date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2020-12-26;VOO;buy;7,310698;9,1739;1122,43;1148,65;26,21;343,69000244;26,21;0,07627510;12520,77
2020-12-27;BNBUSDT;sell;53,281009;66,6904;8373,88;8340,40;-33,47;33,67400000;33,47;0,99404943;12506,16
2020-12-27;BTCUSDT;buy;19,301389;24,1590;2983,63;3021,36;37,73;26281,66000000;33,47;0,00127365;12506,16
2020-12-28;BNBUSDT;sell;53,341570;66,5797;8904,37;8763,02;-141,35;35,95100000;141,35;3,93174361;13161,71
2020-12-28;BTCUSDT;buy;19,464621;24,2953;3108,69;3197,67;88,99;27079,41000000;88,99;0,00328610;13161,71
2020-12-28;VOO;buy;7,310698;9,1250;1148,65;1201,01;52,36;343,69000244;52,36;0,15235988;13161,71
2020-12-29;BNBUSDT;sell;53,422638;66,4771;9522,47;9278,37;-244,10;39,06670000;244,10;6,24835508;13957,24
2020-12-29;BTCUSDT;buy;19,629135;24,4257;3233,76;3409,16;175,40;27385,00000000;175,40;0,00640503;13957,24
2020-12-29;VOO;buy;7,310698;9,0972;1201,01;1269,71;68,70;343,69000244;68,70;0,19989178;13957,24
2020-12-30;BTCUSDT;sell;19,802143;24,5654;3594,72;3421,09;-173,63;28875,54000000;173,63;0,00601296;13926,46
2020-12-30;BNBUSDT;buy;53,497047;66,3654;9062,03;9242,35;180,32;38,15580000;173,63;4,55048599;13926,46
2020-12-31;BTCUSDT;sell;19,974760;24,7057;3426,79;3394,37;-32,42;28923,63000000;32,42;0,00112077;13739,24
2020-12-31;VOO;sell;7,310698;9,0422;1269,71;1242,33;-27,38;343,69000244;27,38;0,07967276;13739,24
2020-12-31;BNBUSDT;buy;53,565464;66,2521;9042,74;9102,54;59,80;37,35880000;59,80;1,60067892;13739,24
2021-01-01;BNBUSDT;sell;53,636067;66,1219;9204,24;9175,17;-29,08;37,77620000;29,08;0,76971101;13876,14
2021-01-01;VOO;buy;7,331801;9,0386;1229,64;1254,20;24,56;340,17999268;24,56;0,07219991;13876,14
2021-01-02;BTCUSDT;sell;20,338788;24,9925;3776,33;3579,22;-197,11;32178,33000000;197,11;0,00612564;14321,19
2021-01-02;BNBUSDT;buy;53,709076;65,9982;9286,14;9451,72;165,58;38,23310000;165,58;4,33083481;14321,19
2021-01-02;VOO;buy;7,331801;9,0094;1254,20;1290,25;36,05;340,17999268;36,05;0,10596564;14321,19
2021-01-03;BNBUSDT;sell;53,800648;65,8801;10199,39;9987,59;-211,80;41,25750000;211,80;5,13370224;15160,26
2021-01-03;BTCUSDT;buy;20,532101;25,1420;3670,62;3811,59;140,97;33000,05000000;140,97;0,00427191;15160,26
2021-01-03;VOO;buy;7,331801;8,9779;1290,25;1361,08;70,83;340,17999268;70,83;0,20821452;15160,26
2021-01-04;BNBUSDT;sell;53,890742;65,7670;9957,52;9873,86;-83,66;41,13330000;83,66;2,03397415;15013,38
2021-01-04;VOO;sell;7,331801;8,9476;1361,08;1343,33;-17,75;340,17999268;17,75;0,05217353;15013,38
2021-01-04;BTCUSDT;buy;20,719323;25,2854;3694,78;3796,19;101,41;31988,71000000;101,41;0,00317026;15013,38
2021-01-05;BTCUSDT;sell;20,916110;25,4354;4028,89;3919,95;-108,94;33949,53000000;108,94;0,00320892;15411,37
2021-01-05;BNBUSDT;buy;53,984304;65,6486;10039,15;10117,35;78,20;41,82190000;78,20;1,86982133;15411,37
