strategy,symbol,signalDate,intendedEntryDate,signalType,holdScore,reason,regimeReason,regimeBenchmarks
final_trend_runner_global_regime,ISRG,2016-02-24,2016-02-25,Pullback,90.8817871000344,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,LMT,2016-02-24,2016-02-25,Pullback,86.9705440885712,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLU,2016-02-25,2016-02-26,Pullback + Breakout,73.03097183703224,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,JNJ,2016-02-25,2016-02-26,Pullback + Breakout,80.31753328340885,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,ISRG,2016-02-25,2016-02-26,Pullback,90.87468223477448,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PG,2016-02-25,2016-02-26,Pullback,71.7125112811491,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PEP,2016-02-25,2016-02-26,Pullback + Breakout,80.86604855397991,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,LMT,2016-02-25,2016-02-26,Pullback + Breakout,87.01061831294406,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,TSM,2016-02-25,2016-02-26,Pullback,97.75510204081633,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,SAP,2016-02-25,2016-02-26,Pullback,70.23611728181608,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,UL,2016-02-25,2016-02-26,Pullback,86.89727974071575,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,ISRG,2016-02-26,2016-02-29,Pullback,90.86793336434786,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,TSM,2016-02-26,2016-02-29,Pullback,97.75510204081633,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,JNJ,2016-03-01,2016-03-02,Pullback + Breakout,80.42615999177156,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PEP,2016-03-01,2016-03-02,Pullback,80.91323071331155,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,LMT,2016-03-01,2016-03-02,Pullback,87.13358773611874,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,SAP,2016-03-01,2016-03-02,Pullback,70.3073320851183,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,UL,2016-03-01,2016-03-02,Pullback,86.88336491867376,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PG,2016-03-02,2016-03-03,Pullback,71.76925424782218,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,XLU,2016-03-03,2016-03-04,Pullback,73.11421241311342,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,PG,2016-03-03,2016-03-04,Pullback,71.78131096464095,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,PEP,2016-03-03,2016-03-04,Pullback,80.94554143567049,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,UL,2016-03-03,2016-03-04,Pullback,86.87383185406381,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,XLU,2016-03-04,2016-03-07,Pullback,73.13179065460844,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,PG,2016-03-04,2016-03-07,Pullback + Breakout,71.7944120003644,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,PEP,2016-03-04,2016-03-07,Pullback + Breakout,80.96236557513447,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,LMT,2016-03-04,2016-03-07,Pullback,87.25551598852105,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,XLU,2016-03-07,2016-03-08,Pullback,73.14965649893485,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,XLU,2016-03-08,2016-03-09,Pullback + Breakout,73.16757547266243,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
