strategy,date,equity,cash,positionValue,openPositions,deployedPct,targetPositionCapital
final_trend_runner_fresh_common_period,2025-03-04,1269.688867431295,555.2887437017039,714.4001237295911,21,56.26576258598632,34.916443854360615
final_trend_runner_fresh_common_period,2025-03-05,1273.4275813690688,552.5984314964721,720.8291498725965,21,56.60542934821855,35.01925848764939
final_trend_runner_fresh_common_period,2025-03-06,1266.6879204622821,510.4039425608235,756.2839779014587,23,59.70562801494549,34.83391781271276
final_trend_runner_fresh_common_period,2025-03-07,1270.158640264266,590.7091645122055,679.4494757520605,19,53.493276683194146,34.929362607267315
final_trend_runner_fresh_common_period,2025-03-08,1270.158640264266,590.7091645122055,679.4494757520605,19,53.493276683194146,34.929362607267315
final_trend_runner_fresh_common_period,2025-03-09,1270.158640264266,590.7091645122055,679.4494757520605,19,53.493276683194146,34.929362607267315
final_trend_runner_fresh_common_period,2025-03-10,1259.8710990098052,766.5171965734044,493.35390243640074,14,39.15907768851527,34.646455222769646
final_trend_runner_fresh_common_period,2025-03-11,1254.3965449201257,903.857859781167,350.5386851389588,10,27.944806334051208,34.49590498530346
final_trend_runner_fresh_common_period,2025-03-12,1252.1628153221293,1105.0456792905634,147.11713603156588,5,11.749042075947509,34.43447742135856
final_trend_runner_fresh_common_period,2025-03-13,1251.3091207165555,1105.0456792905634,146.26344142599208,5,11.68883363866437,34.41100081970528
final_trend_runner_fresh_common_period,2025-03-14,1253.7789676362406,1105.0456792905634,148.7332883456773,5,11.86279975856393,34.47892160999662
final_trend_runner_fresh_common_period,2025-03-15,1253.7789676362406,1105.0456792905634,148.7332883456773,5,11.86279975856393,34.47892160999662
final_trend_runner_fresh_common_period,2025-03-16,1253.7789676362406,1105.0456792905634,148.7332883456773,5,11.86279975856393,34.47892160999662
final_trend_runner_fresh_common_period,2025-03-17,1256.44125470355,932.6639766933853,323.7772780101647,10,25.769392464477626,34.55213450434762
final_trend_runner_fresh_common_period,2025-03-18,1254.673736431307,829.0062068677308,425.667529563576,13,33.92655135783033,34.50352775186094
final_trend_runner_fresh_common_period,2025-03-19,1255.8927742233113,829.0062068677308,426.8865673555805,13,33.990685838572674,34.53705129114106
final_trend_runner_fresh_common_period,2025-03-20,1255.4394194362321,759.9276213108566,495.51179812537555,15,39.46919225683468,34.524584034496385
final_trend_runner_fresh_common_period,2025-03-21,1252.5338916953365,759.9276213108566,492.60627038448,15,39.32877774011567,34.44468202162175
final_trend_runner_fresh_common_period,2025-03-22,1252.5338916953365,759.9276213108566,492.60627038448,15,39.32877774011567,34.44468202162175
final_trend_runner_fresh_common_period,2025-03-23,1252.5338916953365,759.9276213108566,492.60627038448,15,39.32877774011567,34.44468202162175
final_trend_runner_fresh_common_period,2025-03-24,1255.5424157271932,759.9276213108566,495.61479441633674,15,39.474157798905054,34.527416432497816
final_trend_runner_fresh_common_period,2025-03-25,1251.881442999862,414.7888022439594,837.0926407559025,25,66.86676645273947,34.426739682496205
final_trend_runner_fresh_common_period,2025-03-26,1250.8038876551577,482.60425640293056,768.1996312522272,23,61.41647294463935,34.39710691051684
final_trend_runner_fresh_common_period,2025-03-27,1250.519497517127,482.60425640293056,767.9152411141965,23,61.40769837166646,34.389286181721
final_trend_runner_fresh_common_period,2025-03-28,1243.7593755676194,515.8522166122956,727.9071589553239,22,58.524757541877904,34.20338282810953
final_trend_runner_fresh_common_period,2025-03-29,1243.7593755676194,515.8522166122956,727.9071589553239,22,58.524757541877904,34.20338282810953
final_trend_runner_fresh_common_period,2025-03-30,1243.7593755676194,515.8522166122956,727.9071589553239,22,58.524757541877904,34.20338282810953
final_trend_runner_fresh_common_period,2025-03-31,1245.6776593184961,749.6106105041431,496.067048814353,15,39.823066995176646,34.256135631258644
final_trend_runner_fresh_common_period,2025-04-01,1245.5128002419035,749.2089796383027,496.3038206036008,15,39.84734805673685,34.25160200665235
final_trend_runner_fresh_common_period,2025-04-02,1248.0787316925048,714.9573776316504,533.1213540608544,16,42.71536246258238,34.32216512154388
final_trend_runner_fresh_common_period,2025-04-03,1236.4356957264827,746.839379324632,489.5963164018506,15,39.597394194785224,34.00198163247828
final_trend_runner_fresh_common_period,2025-04-04,1218.4050402690839,1182.783274437996,35.621765831087956,1,2.9236390735236055,33.506138607399805
final_trend_runner_fresh_common_period,2025-04-05,1218.4050402690839,1182.783274437996,35.621765831087956,1,2.9236390735236055,33.506138607399805
final_trend_runner_fresh_common_period,2025-04-06,1218.4050402690839,1182.783274437996,35.621765831087956,1,2.9236390735236055,33.506138607399805
final_trend_runner_fresh_common_period,2025-04-07,1217.5861822150553,1217.5861822150553,0,0,0,33.48362001091402
final_trend_runner_fresh_common_period,2025-04-08,1217.5861822150553,1217.5861822150553,0,0,0,33.48362001091402
final_trend_runner_fresh_common_period,2025-04-09,1217.5861822150553,1217.5861822150553,0,0,0,33.48362001091402
final_trend_runner_fresh_common_period,2025-04-10,1217.5861822150553,1217.5861822150553,0,0,0,33.48362001091402
final_trend_runner_fresh_common_period,2025-04-11,1217.5861822150553,1217.5861822150553,0,0,0,33.48362001091402
final_trend_runner_fresh_common_period,2025-04-12,1217.5861822150553,1217.5861822150553,0,0,0,33.48362001091402
final_trend_runner_fresh_common_period,2025-04-13,1217.5861822150553,1217.5861822150553,0,0,0,33.48362001091402
final_trend_runner_fresh_common_period,2025-04-14,1217.9131177065844,1184.1025622041413,33.810555502443016,1,2.7761057017031443,33.49261073693107
final_trend_runner_fresh_common_period,2025-04-15,1216.7257206909803,1016.6618190577542,200.0639016332261,6,16.442810259621165,33.45995731900196
final_trend_runner_fresh_common_period,2025-04-16,1215.0565285238386,1016.6618190577542,198.39470946608427,6,16.32802300211598,33.41405453440556
final_trend_runner_fresh_common_period,2025-04-17,1218.1308188779353,1016.6618190577542,201.46899982018104,6,16.539192400185843,33.498597519143225
final_trend_runner_fresh_common_period,2025-04-18,1218.1308188779353,1016.6618190577542,201.46899982018104,6,16.539192400185843,33.498597519143225
final_trend_runner_fresh_common_period,2025-04-19,1218.1308188779353,1016.6618190577542,201.46899982018104,6,16.539192400185843,33.498597519143225
final_trend_runner_fresh_common_period,2025-04-20,1218.1308188779353,1016.6618190577542,201.46899982018104,6,16.539192400185843,33.498597519143225
final_trend_runner_fresh_common_period,2025-04-21,1215.4542784842577,1016.6618190577542,198.79245942650343,6,16.355404143577427,33.42499265831709
final_trend_runner_fresh_common_period,2025-04-22,1219.0261859832003,1016.6618190577542,202.3643669254462,6,16.60049384109252,33.523220114538006
final_trend_runner_fresh_common_period,2025-04-23,1218.3477693088919,983.1385989432162,235.20917036567576,7,19.305585506107033,33.504563655994524
final_trend_runner_fresh_common_period,2025-04-24,1217.9008193252496,983.1385989432162,234.7622203820335,7,19.275971955754017,33.492272531444364
final_trend_runner_fresh_common_period,2025-04-25,1217.3929850103345,983.1385989432162,234.2543860671184,7,19.24229800495604,33.4783070877842
final_trend_runner_fresh_common_period,2025-04-26,1217.3929850103345,983.1385989432162,234.2543860671184,7,19.24229800495604,33.4783070877842
final_trend_runner_fresh_common_period,2025-04-27,1217.3929850103345,983.1385989432162,234.2543860671184,7,19.24229800495604,33.4783070877842
final_trend_runner_fresh_common_period,2025-04-28,1218.2880934399032,983.1385989432162,235.149494496687,7,19.301632820914268,33.50292256959734
final_trend_runner_fresh_common_period,2025-04-29,1219.953399419233,882.6299827166648,337.32341670256824,10,27.6505165576942,33.5487184840289
final_trend_runner_fresh_common_period,2025-04-30,1220.2805706492588,882.6299827166648,337.650587932594,10,27.66991428478982,33.55771569285462
final_trend_runner_fresh_common_period,2025-05-01,1219.0433051568348,882.6299827166648,336.4133224401701,10,27.59650301322882,33.523690891812954
final_trend_runner_fresh_common_period,2025-05-02,1222.5468327064646,882.6299827166648,339.91684998979986,10,27.803994161703777,33.62003789942778
final_trend_runner_fresh_common_period,2025-05-03,1222.5468327064646,882.6299827166648,339.91684998979986,10,27.803994161703777,33.62003789942778
final_trend_runner_fresh_common_period,2025-05-04,1222.5468327064646,882.6299827166648,339.91684998979986,10,27.803994161703777,33.62003789942778
final_trend_runner_fresh_common_period,2025-05-05,1222.356047431183,882.6299827166648,339.7260647145182,10,27.792725812455583,33.61479130435753
final_trend_runner_fresh_common_period,2025-05-06,1223.1378741836138,882.6299827166648,340.50789146694893,10,27.838880526385605,33.63629154004938
final_trend_runner_fresh_common_period,2025-05-07,1223.4501204952464,882.6299827166648,340.8201377785816,10,27.857297332286773,33.64487831361928
final_trend_runner_fresh_common_period,2025-05-08,1221.240862489335,815.3455514010177,405.8953110883174,12,33.23630280933725,33.584123718456716
final_trend_runner_fresh_common_period,2025-05-09,1221.438201776175,781.761427682561,439.676774093614,13,35.9966450577893,33.58955054884481
final_trend_runner_fresh_common_period,2025-05-10,1221.438201776175,781.761427682561,439.676774093614,13,35.9966450577893,33.58955054884481
final_trend_runner_fresh_common_period,2025-05-11,1221.438201776175,781.761427682561,439.676774093614,13,35.9966450577893,33.58955054884481
final_trend_runner_fresh_common_period,2025-05-12,1222.6575749754707,781.761427682561,440.89614729290975,13,36.06047648310322,33.62308331182545
final_trend_runner_fresh_common_period,2025-05-13,1222.3677984492765,546.4263672173009,675.9414312319755,20,55.297712528871436,33.615114457355105
final_trend_runner_fresh_common_period,2025-05-14,1220.1211012559775,546.4263672173009,673.6947340386764,20,55.21539897516594,33.55333028453938
final_trend_runner_fresh_common_period,2025-05-15,1228.7468909696097,546.4263672173009,682.3205237523088,20,55.52978638374309,33.79053950166427
final_trend_runner_fresh_common_period,2025-05-16,1233.8488108049255,546.4263672173009,687.4224435876245,20,55.71366909525738,33.93084229713545
final_trend_runner_fresh_common_period,2025-05-17,1233.8488108049255,546.4263672173009,687.4224435876245,20,55.71366909525738,33.93084229713545
final_trend_runner_fresh_common_period,2025-05-18,1233.8488108049255,546.4263672173009,687.4224435876245,20,55.71366909525738,33.93084229713545
final_trend_runner_fresh_common_period,2025-05-19,1236.6448715747451,546.4263672173009,690.2185043574442,20,55.81380072991522,34.007733968305494
final_trend_runner_fresh_common_period,2025-05-20,1236.2214136354294,1.9514010711632679,1234.2700125642662,36,99.84214793162135,33.996088874974305
final_trend_runner_fresh_common_period,2025-05-21,1217.9775157262277,1.9514010711632679,1216.0261146550645,36,99.83978348976338,33.494381682471264
final_trend_runner_fresh_common_period,2025-05-22,1216.1040403965349,1.9514010711632679,1214.1526393253716,36,99.8395366673951,33.44286111090471
final_trend_runner_fresh_common_period,2025-05-23,1213.7712903748977,1.9514010711632679,1211.8198893037345,36,99.83922827252238,33.37871048530969
final_trend_runner_fresh_common_period,2025-05-24,1213.7712903748977,1.9514010711632679,1211.8198893037345,36,99.83922827252238,33.37871048530969
final_trend_runner_fresh_common_period,2025-05-25,1213.7712903748977,1.9514010711632679,1211.8198893037345,36,99.83922827252238,33.37871048530969
final_trend_runner_fresh_common_period,2025-05-26,1213.7712903748977,1.9514010711632679,1211.8198893037345,36,99.83922827252238,33.37871048530969
final_trend_runner_fresh_common_period,2025-05-27,1234.4246535489065,1.9514010711632679,1232.4732524777432,36,99.84191817090229,33.94667797259493
final_trend_runner_fresh_common_period,2025-05-28,1225.5937356178324,1.9514010711632679,1223.6423345466692,36,99.84077912488843,33.70382772949039
final_trend_runner_fresh_common_period,2025-05-29,1230.878979867385,1.9514010711632679,1228.9275787962217,36,99.84146279991121,33.84917194635309
final_trend_runner_fresh_common_period,2025-05-30,1232.7724924058734,1.9514010711632679,1230.8210913347102,36,99.84170630970563,33.90124354116152
final_trend_runner_fresh_common_period,2025-05-31,1232.7724924058734,1.9514010711632679,1230.8210913347102,36,99.84170630970563,33.90124354116152
final_trend_runner_fresh_common_period,2025-06-01,1232.7724924058734,1.9514010711632679,1230.8210913347102,36,99.84170630970563,33.90124354116152
final_trend_runner_fresh_common_period,2025-06-02,1239.3186193460422,1.9514010711632679,1237.367218274879,36,99.84254242285225,34.08126203201616
final_trend_runner_fresh_common_period,2025-06-03,1242.3211489947491,1.9514010711632679,1240.369747923586,36,99.84292297746504,34.1638315973556
final_trend_runner_fresh_common_period,2025-06-04,1240.404106019771,1.9514010711632679,1238.4527049486078,36,99.84268021512563,34.1111129155437
final_trend_runner_fresh_common_period,2025-06-05,1235.5450657662195,1.9514010711632679,1233.5936646950563,36,99.84206152205763,33.97748930857104
final_trend_runner_fresh_common_period,2025-06-06,1244.1760865649183,34.637607896838006,1209.5384786680802,35,97.21602044349927,34.21484238053525
final_trend_runner_fresh_common_period,2025-06-07,1244.1760865649183,34.637607896838006,1209.5384786680802,35,97.21602044349927,34.21484238053525
final_trend_runner_fresh_common_period,2025-06-08,1244.1760865649183,34.637607896838006,1209.5384786680802,35,97.21602044349927,34.21484238053525
final_trend_runner_fresh_common_period,2025-06-09,1242.8984072582816,0.4227655163027464,1242.475641741979,36,99.96598551306899,34.17970619960275
final_trend_runner_fresh_common_period,2025-06-10,1247.1958024027956,0.4227655163027464,1246.773036886493,36,99.96610271494755,34.29788456607688
