date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2021-07-28;BTCUSDT;sell;54,237530;26,0245;3017,60;2987,49;-30,11;40019,56000000;30,11;0,00075241;11479,50
2021-07-28;BNBUSDT;buy;134,205764;64,3953;7364,92;7392,26;27,34;313,80000000;27,34;0,08712346;11479,50
2021-07-29;BNBUSDT;sell;134,502202;64,4196;7468,35;7443,91;-24,44;317,03000000;24,44;0,07707941;11555,36
2021-07-29;BTCUSDT;buy;54,322780;26,0178;2987,26;3006,45;19,19;40016,48000000;19,19;0,00047962;11555,36
2021-07-30;BTCUSDT;sell;54,416164;26,0135;3170,97;3082,66;-88,32;42206,37000000;88,32;0,00209254;11850,20
2021-07-30;BNBUSDT;buy;134,801864;64,4418;7574,22;7636,48;62,25;322,58000000;62,25;0,19298491;11850,20
2021-07-30;VOO;buy;7,585474;3,6262;416,77;429,71;12,95;403,14999390;12,95;0,03211739;11850,20
2021-07-30;GLDM;buy;12,380492;5,9185;680,22;701,35;21,13;36,08000183;21,13;0,58572735;11850,20
2021-07-31;BNBUSDT;sell;135,108219;64,4661;7868,47;7753,86;-114,61;332,38000000;114,61;0,34482507;12027,82
2021-07-31;BTCUSDT;buy;54,506143;26,0073;3028,28;3128,11;99,83;41461,83000000;99,83;0,00240778;12027,82
2021-08-01;BNBUSDT;sell;135,413154;64,4757;7758,76;7687,73;-71,03;332,59000000;71,03;0,21357161;11923,45
2021-08-01;BTCUSDT;buy;54,589174;25,9921;3006,16;3099,16;93,00;39845,44000000;85,81;0,00215367;11923,45
2021-08-02;BNBUSDT;sell;135,714795;64,5400;7640,57;7616,72;-23,85;330,55000000;23,85;0,07215949;11801,56
2021-08-02;VOO;sell;7,639157;3,6328;442,40;428,73;-13,67;415,04998779;13,67;0,03292630;11801,56
2021-08-02;BTCUSDT;buy;54,668856;25,9981;3037,84;3068,18;30,34;39147,82000000;30,34;0,00077509;11801,56
2021-08-04;BTCUSDT;sell;54,825213;25,9795;3113,27;3102,96;-10,31;39723,18000000;10,31;0,00025957;11943,89
2021-08-04;GLDM;buy;12,257375;5,8083;680,75;693,74;12,99;35,02000046;12,99;0,37092923;11943,89
2021-08-05;BTCUSDT;sell;54,910370;25,9721;3191,96;3143,98;-47,97;40862,46000000;47,97;0,00117405;12105,24
2021-08-05;BNBUSDT;buy;136,613789;64,6170;7786,32;7822,05;35,73;337,91000000;35,73;0,10573877;12105,24
2021-08-06;BTCUSDT;sell;55,002632;25,9669;3295,90;3209,73;-86,16;42836,87000000;86,16;0,00201137;12360,85
2021-08-06;BNBUSDT;buy;136,918811;64,6398;7925,75;7990,04;64,29;342,39000000;64,29;0,18775861;12360,85
2021-08-06;VOO;buy;7,639157;3,6065;428,73;445,79;17,06;415,04998779;17,06;0,04109949;12360,85
2021-08-06;GLDM;buy;12,257375;5,7867;693,74;715,29;21,56;35,02000046;21,56;0,61554421;12360,85
2021-08-07;BTCUSDT;sell;55,100769;25,9627;3339,79;3326,53;-13,26;44572,54000000;13,26;0,00029750;12812,71
2021-08-07;BNBUSDT;sell;137,233144;64,6623;8311,84;8285,00;-26,84;356,18000000;26,84;0,07536726;12812,71
2021-08-07;VOO;buy;7,639157;3,5995;445,79;461,19;15,40;415,04998779;15,40;0,03709921;12812,71
2021-08-07;GLDM;buy;12,257375;5,7755;715,29;740,00;24,71;35,02000046;24,71;0,70550641;12812,71
2021-08-08;BTCUSDT;sell;55,195536;25,9589;3268,45;3224,07;-44,38;43794,37000000;44,38;0,00101328;12419,91
