date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2016-08-01;TLT;buy;2,175402;7,4901;879,53;899,08;19,55;139,86999512;19,55;0,13976911;12003,58
2016-09-01;AAPL;sell;12,468267;43,0395;5343,40;5253,57;-89,83;27,62999916;89,83;3,25105734;12206,38
2016-09-01;VOO;buy;8,009948;27,6497;3325,53;3375,03;49,50;198,69000244;49,50;0,24912696;12206,38
2016-09-01;TLT;buy;2,190621;7,5619;883,91;923,03;39,12;137,50999451;39,12;0,28448965;12206,38
2016-10-01;AAPL;sell;12,468267;43,2900;5253,57;5205,95;-47,62;27,62999916;47,62;1,72364408;12025,74
2016-10-01;GLD;buy;6,218154;21,5895;2575,39;2596,30;20,91;121,94000244;20,91;0,17144343;12025,74
2016-10-01;TLT;buy;2,196822;7,6274;881,01;917,25;36,24;131,25000000;27,93;0,21276935;12025,74
2016-11-01;AAPL;sell;12,468267;43,5473;5205,95;5162,98;-42,96;27,62999916;42,96;1,55492919;11856,03
2016-11-01;VOO;sell;7,860543;27,4541;3438,05;3254,97;-183,08;202,39999390;183,08;0,90455511;11856,03
2016-11-01;GLD;buy;6,115320;21,3587;2379,34;2532,29;152,95;111,75000000;152,95;1,36870567;11856,03
2016-11-01;TLT;buy;2,187402;7,6398;832,69;905,78;73,09;120,23999786;73,09;0,60788243;11856,03
2016-12-01;AAPL;sell;12,541352;43,9430;6399,54;5748,86;-650,68;34,24750137;650,68;18,99930902;13082,53
2016-12-01;VOO;buy;7,812127;27,3725;3301,77;3581,02;279,25;205,30999756;279,25;1,36013869;13082,53
2016-12-01;GLD;buy;6,010230;21,0590;2483,80;2755,04;271,24;109,61000061;271,24;2,47463555;13082,53
2016-12-01;TLT;buy;2,176308;7,6255;897,42;997,60;100,18;119,12999725;100,18;0,84096356;13082,53
2017-01-01;GLD;sell;5,920658;20,8447;2904,35;2773,14;-131,21;115,55000305;131,21;1,13552302;13303,79
2017-01-01;AAPL;buy;12,541352;44,1540;5748,86;5874,16;125,30;34,24750137;125,30;3,65853815;13303,79
2017-02-01;VOO;sell;7,766679;27,4368;3786,14;3716,90;-69,24;217,07000732;69,24;0,31895382;13547,12
2017-02-01;GLD;sell;5,840618;20,6328;2861,45;2795,15;-66,31;119,23000336;66,31;0,55612543;13547,12
2017-02-01;AAPL;buy;12,541352;44,3040;5874,16;6001,92;127,76;34,24750137;127,76;3,73059581;13547,12
